Date,
2008-08-07 00:00:00-05:00,-0.00644526
2008-08-08 00:00:00-05:00,0
2008-08-09 00:00:00-05:00,0
2008-08-10 00:00:00-05:00,0
2008-08-11 00:00:00-05:00,0.020181998
2008-08-12 00:00:00-05:00,0
2008-08-13 00:00:00-05:00,0.010244635
2008-08-14 00:00:00-05:00,0
2008-08-15 00:00:00-05:00,0.003147128
2008-08-16 00:00:00-05:00,0
2008-08-17 00:00:00-05:00,0
2008-08-18 00:00:00-05:00,0
2008-08-19 00:00:00-05:00,0.010457516
2008-08-20 00:00:00-05:00,0.010090556
2008-08-21 00:00:00-05:00,-0.00068306
2008-08-22 00:00:00-05:00,-0.003417635
2008-08-23 00:00:00-05:00,0
2008-08-24 00:00:00-05:00,0
2008-08-25 00:00:00-05:00,0
2008-08-26 00:00:00-05:00,0.006515775
2008-08-27 00:00:00-05:00,0
2008-08-28 00:00:00-05:00,0
2008-08-29 00:00:00-05:00,0.035093697
2008-08-30 00:00:00-05:00,0
2008-08-31 00:00:00-05:00,0
2008-09-01 00:00:00-05:00,0
2008-09-02 00:00:00-05:00,-0.005595787
2008-09-03 00:00:00-05:00,-0.026812314
2008-09-04 00:00:00-05:00,0.001190476
2008-09-05 00:00:00-05:00,0
2008-09-06 00:00:00-05:00,0
2008-09-07 00:00:00-05:00,0
2008-09-08 00:00:00-05:00,0
2008-09-09 00:00:00-05:00,-0.007813827
2008-09-10 00:00:00-05:00,0.009929807
2008-09-11 00:00:00-05:00,-0.024410917
2008-09-12 00:00:00-05:00,-0.014943527
2008-09-13 00:00:00-05:00,0
2008-09-14 00:00:00-05:00,0
2008-09-15 00:00:00-05:00,-0.045510672
2008-09-16 00:00:00-05:00,0.019220107
2008-09-17 00:00:00-05:00,-0.016863101
2008-09-18 00:00:00-05:00,0.014939137
2008-09-19 00:00:00-05:00,0.027257859
2008-09-20 00:00:00-05:00,0
2008-09-21 00:00:00-05:00,0
2008-09-22 00:00:00-05:00,0.050769503
2008-09-23 00:00:00-05:00,0.009090909
2008-09-24 00:00:00-05:00,0
2008-09-25 00:00:00-05:00,0
2008-09-26 00:00:00-05:00,0.009342676
2008-09-27 00:00:00-05:00,-0.014049587
2008-09-28 00:00:00-05:00,0
2008-09-29 00:00:00-05:00,0
2008-09-30 00:00:00-05:00,0
2008-10-01 00:00:00-05:00,0.016764459
2008-10-02 00:00:00-05:00,0
2008-10-03 00:00:00-05:00,0.000989283
2008-10-04 00:00:00-05:00,-0.043814858
2008-10-05 00:00:00-05:00,0
2008-10-06 00:00:00-05:00,0.010335917
2008-10-07 00:00:00-05:00,0.006479113
2008-10-08 00:00:00-05:00,0
2008-10-09 00:00:00-05:00,-0.079620532
2008-10-10 00:00:00-05:00,0.036904105
2008-10-11 00:00:00-05:00,0
2008-10-12 00:00:00-05:00,0
2008-10-13 00:00:00-05:00,0.026626431
2008-10-14 00:00:00-05:00,0.046165817
2008-10-15 00:00:00-05:00,0.009916536
2008-10-16 00:00:00-05:00,0.017838147
2008-10-17 00:00:00-05:00,0.024117694
2008-10-18 00:00:00-05:00,0.008634901
2008-10-19 00:00:00-05:00,0
2008-10-20 00:00:00-05:00,0
2008-10-21 00:00:00-05:00,0
2008-10-22 00:00:00-05:00,0.013464083
2008-10-23 00:00:00-05:00,0.024113039
2008-10-24 00:00:00-05:00,-0.016796641
2008-10-25 00:00:00-05:00,0
2008-10-26 00:00:00-05:00,0
2008-10-27 00:00:00-05:00,0
2008-10-28 00:00:00-05:00,0.022879805
2008-10-29 00:00:00-05:00,0.025201312
2008-10-30 00:00:00-05:00,0
2008-10-31 00:00:00-05:00,0
2008-11-01 00:00:00-05:00,0
2008-11-02 00:00:00-05:00,0
2008-11-03 00:00:00-05:00,0
2008-11-04 00:00:00-05:00,-0.008
2008-11-05 00:00:00-05:00,-0.016422287
2008-11-06 00:00:00-05:00,0.023106738
2008-11-07 00:00:00-05:00,0
2008-11-08 00:00:00-05:00,0
2008-11-09 00:00:00-05:00,0
2008-11-10 00:00:00-05:00,0.001748506
2008-11-11 00:00:00-05:00,0.008727273
2008-11-12 00:00:00-05:00,0.005623648
2008-11-13 00:00:00-05:00,0.02150846
2008-11-14 00:00:00-05:00,0.022599663
2008-11-15 00:00:00-05:00,-0.021413864
2008-11-16 00:00:00-05:00,0
2008-11-17 00:00:00-05:00,0
2008-11-18 00:00:00-05:00,-0.038995652
2008-11-19 00:00:00-05:00,-0.010801343
2008-11-20 00:00:00-05:00,0
2008-11-21 00:00:00-05:00,0.022133687
2008-11-22 00:00:00-05:00,0
2008-11-23 00:00:00-05:00,0
2008-11-24 00:00:00-05:00,0
2008-11-25 00:00:00-05:00,0.062942111
2008-11-26 00:00:00-05:00,-0.016840962
2008-11-27 00:00:00-05:00,0
2008-11-28 00:00:00-05:00,0
2008-11-29 00:00:00-05:00,0
2008-11-30 00:00:00-05:00,0
2008-12-01 00:00:00-05:00,0.008288438
2008-12-02 00:00:00-05:00,0.018016167
2008-12-03 00:00:00-05:00,-0.018302941
2008-12-04 00:00:00-05:00,-0.002330523
2008-12-05 00:00:00-05:00,0.008381999
2008-12-06 00:00:00-05:00,0
2008-12-07 00:00:00-05:00,0
2008-12-08 00:00:00-05:00,0
2008-12-09 00:00:00-05:00,-0.002180282
2008-12-10 00:00:00-05:00,0.006145442
2008-12-11 00:00:00-05:00,-0.008958263
2008-12-12 00:00:00-05:00,0.016024105
2008-12-13 00:00:00-05:00,0
2008-12-14 00:00:00-05:00,0
2008-12-15 00:00:00-05:00,0
2008-12-16 00:00:00-05:00,-0.005526724
2008-12-17 00:00:00-05:00,0.02683836
2008-12-18 00:00:00-05:00,0
2008-12-19 00:00:00-05:00,0.003168108
2008-12-20 00:00:00-05:00,0
2008-12-21 00:00:00-05:00,0
2008-12-22 00:00:00-05:00,-0.021054017
2008-12-23 00:00:00-05:00,0.000806506
2008-12-24 00:00:00-05:00,0
2008-12-25 00:00:00-05:00,0
2008-12-26 00:00:00-05:00,0.002954805
2008-12-27 00:00:00-05:00,0
2008-12-28 00:00:00-05:00,0
2008-12-29 00:00:00-05:00,0
2008-12-30 00:00:00-05:00,-0.006427854
2008-12-31 00:00:00-05:00,0
2009-01-01 00:00:00-05:00,0
2009-01-02 00:00:00-05:00,0.022373475
2009-01-03 00:00:00-05:00,-0.003559423
2009-01-04 00:00:00-05:00,0
2009-01-05 00:00:00-05:00,0.003969041
2009-01-06 00:00:00-05:00,-0.003558015
2009-01-07 00:00:00-05:00,-0.008199431
2009-01-08 00:00:00-05:00,0.011867458
2009-01-09 00:00:00-05:00,-0.002899124
2009-01-10 00:00:00-05:00,0
2009-01-11 00:00:00-05:00,0
2009-01-12 00:00:00-05:00,0
2009-01-13 00:00:00-05:00,0
2009-01-14 00:00:00-05:00,-0.026167977
2009-01-15 00:00:00-05:00,0.007328493
2009-01-16 00:00:00-05:00,-0.010239138
2009-01-17 00:00:00-05:00,0
2009-01-18 00:00:00-05:00,0
2009-01-19 00:00:00-05:00,0
2009-01-20 00:00:00-05:00,0
2009-01-21 00:00:00-05:00,0.006125366
2009-01-22 00:00:00-05:00,0.011634986
2009-01-23 00:00:00-05:00,-0.00855901
2009-01-24 00:00:00-05:00,0
2009-01-25 00:00:00-05:00,0
2009-01-26 00:00:00-05:00,-0.007014231
2009-01-27 00:00:00-05:00,0
2009-01-28 00:00:00-05:00,0
2009-01-29 00:00:00-05:00,0
2009-01-30 00:00:00-05:00,0.00937309
2009-01-31 00:00:00-05:00,0
2009-02-01 00:00:00-05:00,0
2009-02-02 00:00:00-05:00,0
2009-02-03 00:00:00-05:00,0
2009-02-04 00:00:00-05:00,0.006998183
2009-02-05 00:00:00-05:00,-0.008954227
2009-02-06 00:00:00-05:00,0
2009-02-07 00:00:00-05:00,0
2009-02-08 00:00:00-05:00,0
2009-02-09 00:00:00-05:00,0.025082597
2009-02-10 00:00:00-05:00,0.007893179
2009-02-11 00:00:00-05:00,0.008810285
2009-02-12 00:00:00-05:00,-0.020442489
2009-02-13 00:00:00-05:00,-0.004358737
2009-02-14 00:00:00-05:00,0
2009-02-15 00:00:00-05:00,0
2009-02-16 00:00:00-05:00,0
2009-02-17 00:00:00-05:00,-0.039002388
2009-02-18 00:00:00-05:00,0.004141358
2009-02-19 00:00:00-05:00,0
2009-02-20 00:00:00-05:00,-0.028594996
2009-02-21 00:00:00-05:00,-0.001415228
2009-02-22 00:00:00-05:00,0
2009-02-23 00:00:00-05:00,0
2009-02-24 00:00:00-05:00,0.004393424
2009-02-25 00:00:00-05:00,0.013828136
2009-02-26 00:00:00-05:00,-0.034377175
2009-02-27 00:00:00-05:00,0
2009-02-28 00:00:00-05:00,0
2009-03-01 00:00:00-05:00,0
2009-03-02 00:00:00-05:00,0.008648025
2009-03-03 00:00:00-05:00,0.010288654
2009-03-04 00:00:00-05:00,0
2009-03-05 00:00:00-05:00,-0.008769448
2009-03-06 00:00:00-05:00,0.001141553
2009-03-07 00:00:00-05:00,0
2009-03-08 00:00:00-05:00,0
2009-03-09 00:00:00-05:00,-0.010832383
2009-03-10 00:00:00-05:00,-0.013688761
2009-03-11 00:00:00-05:00,0
2009-03-12 00:00:00-05:00,-0.009642075
2009-03-13 00:00:00-05:00,0.027142646
2009-03-14 00:00:00-05:00,-0.006462732
2009-03-15 00:00:00-05:00,0
2009-03-16 00:00:00-05:00,-0.018213356
2009-03-17 00:00:00-05:00,-0.007067138
2009-03-18 00:00:00-05:00,-0.006524318
2009-03-19 00:00:00-05:00,-0.003134328
2009-03-20 00:00:00-05:00,0
2009-03-21 00:00:00-05:00,0
2009-03-22 00:00:00-05:00,0
2009-03-23 00:00:00-05:00,-0.000898338
2009-03-24 00:00:00-05:00,0.020680354
2009-03-25 00:00:00-05:00,-0.003670533
2009-03-26 00:00:00-05:00,-0.024756852
2009-03-27 00:00:00-05:00,0
2009-03-28 00:00:00-05:00,0
2009-03-29 00:00:00-05:00,0
2009-03-30 00:00:00-05:00,0.009066183
2009-03-31 00:00:00-05:00,0.010706798
2009-04-01 00:00:00-05:00,-0.012445366
2009-04-02 00:00:00-05:00,0
2009-04-03 00:00:00-05:00,-0.007051234
2009-04-04 00:00:00-05:00,0
2009-04-05 00:00:00-05:00,0
2009-04-06 00:00:00-05:00,0
2009-04-07 00:00:00-05:00,0
2009-04-08 00:00:00-05:00,0
2009-04-09 00:00:00-05:00,0
2009-04-10 00:00:00-05:00,0
2009-04-11 00:00:00-05:00,0
2009-04-12 00:00:00-05:00,0
2009-04-13 00:00:00-05:00,0.028405228
2009-04-14 00:00:00-05:00,-0.005289062
2009-04-15 00:00:00-05:00,0
2009-04-16 00:00:00-05:00,0
2009-04-17 00:00:00-05:00,0.025699727
2009-04-18 00:00:00-05:00,0
2009-04-19 00:00:00-05:00,0
2009-04-20 00:00:00-05:00,0
2009-04-21 00:00:00-05:00,0.00878393
2009-04-22 00:00:00-05:00,0.0028549
2009-04-23 00:00:00-05:00,-0.008824995
2009-04-24 00:00:00-05:00,0
2009-04-25 00:00:00-05:00,0
2009-04-26 00:00:00-05:00,0
