Date,Equity
3/30/2009,"$66,950.00 "
4/1/2009,"$66,637.50 "
4/3/2009,"$65,462.50 "
4/13/2009,"$70,162.50 "
4/17/2009,"$73,612.50 "
4/21/2009,"$75,137.50 "
4/22/2009,"$75,637.50 "
4/23/2009,"$74,087.50 "
4/27/2009,"$74,437.50 "
4/28/2009,"$74,787.50 "
4/30/2009,"$78,337.50 "
5/1/2009,"$78,237.50 "
5/5/2009,"$80,087.50 "
5/7/2009,"$79,587.50 "
5/8/2009,"$78,862.50 "
5/11/2009,"$77,862.50 "
5/12/2009,"$78,337.50 "
5/15/2009,"$76,987.50 "
5/18/2009,"$76,037.50 "
5/21/2009,"$77,387.50 "
5/26/2009,"$76,687.50 "
5/28/2009,"$77,762.50 "
6/1/2009,"$81,512.50 "
6/2/2009,"$85,412.50 "
6/3/2009,"$86,637.50 "
6/5/2009,"$86,637.50 "
6/8/2009,"$86,562.50 "
6/10/2009,"$84,912.50 "
6/11/2009,"$83,462.50 "
6/12/2009,"$81,462.50 "
6/16/2009,"$79,437.50 "
6/17/2009,"$79,512.50 "
6/22/2009,"$77,512.50 "
6/23/2009,"$78,187.50 "
6/25/2009,"$79,987.50 "
6/26/2009,"$79,712.50 "
6/30/2009,"$78,012.50 "
7/2/2009,"$72,537.50 "
7/6/2009,"$73,387.50 "
7/10/2009,"$71,887.50 "
7/13/2009,"$71,637.50 "
7/14/2009,"$74,087.50 "
7/16/2009,"$73,462.50 "
7/21/2009,"$74,962.50 "
7/24/2009,"$75,812.50 "
7/31/2009,"$73,412.50 "
8/5/2009,"$73,212.50 "
8/10/2009,"$72,012.50 "
8/11/2009,"$72,987.50 "
8/13/2009,"$71,787.50 "
8/14/2009,"$71,662.50 "
8/19/2009,"$71,462.50 "
8/25/2009,"$70,612.50 "
8/31/2009,"$70,187.50 "
9/2/2009,"$70,837.50 "
9/4/2009,"$71,537.50 "
9/10/2009,"$70,887.50 "
9/11/2009,"$71,737.50 "
9/14/2009,"$71,912.50 "
9/17/2009,"$76,662.50 "
9/18/2009,"$76,812.50 "
9/23/2009,"$76,712.50 "
9/25/2009,"$78,262.50 "
9/29/2009,"$79,762.50 "
9/30/2009,"$79,837.50 "
10/6/2009,"$82,787.50 "
10/7/2009,"$82,587.50 "
10/9/2009,"$82,337.50 "
10/12/2009,"$81,112.50 "
10/13/2009,"$81,037.50 "
10/15/2009,"$81,937.50 "
10/20/2009,"$80,987.50 "
10/21/2009,"$80,612.50 "
10/22/2009,"$76,037.50 "
