"Date","Time","Open","High","Low","Close","Vol","OI","exHurst1","exHurst2","xh4","exHurst1","exHurst2","xh5","p","xH1","xH2","Signal","Price","BarsAgo","BuildTime","Wavelength","dZ","edge%","~Hit%","~CallStrike","~PutStrike","MaxRetDate","x_est","ZMA","Upper Band","Lower Band"
05/07/2018,17:00,61.58,62.57,61.24,62.46,758916,469303,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.34,60.32,0.00,0.00
05/08/2018,17:00,61.76,62.13,59.36,60.79,1253566,405418,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.52,60.54,0.00,0.00
05/09/2018,17:00,61.78,63.09,61.58,62.87,863386,369384,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.73,60.83,0.00,0.00
05/10/2018,17:00,62.96,63.62,62.29,63.09,749808,333342,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.99,61.19,0.00,0.00
05/11/2018,17:00,63.18,63.36,62.18,62.43,634145,291830,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.24,61.55,0.00,0.00
05/14/2018,17:00,62.27,62.99,61.99,62.69,592826,249507,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.49,61.88,0.00,0.00
05/15/2018,17:00,62.88,63.65,62.15,63.04,815289,193717,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.74,62.18,0.00,0.00
05/16/2018,17:00,62.75,63.32,62.39,63.22,574279,168152,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.98,62.46,0.00,0.00
05/17/2018,17:00,63.29,64.03,62.82,63.22,541055,84902,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.22,62.71,0.00,0.00
05/18/2018,17:00,63.29,63.51,62.74,63.02,462168,515453,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.44,62.91,0.00,0.00
05/21/2018,17:00,63.15,64.33,62.97,64.00,579265,524259,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.67,63.10,0.00,0.00
05/22/2018,17:00,64.27,64.55,63.47,63.85,723458,540497,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.89,63.30,0.00,0.00
05/23/2018,17:00,63.76,63.91,62.84,63.49,702791,532927,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.10,63.46,0.00,0.00
05/24/2018,17:00,63.48,63.65,62.17,62.36,955354,528771,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.25,63.52,0.00,0.00
05/25/2018,17:00,62.30,62.45,59.07,59.53,955354,516813,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.29,63.33,0.00,0.00
05/29/2018,17:00,59.20,59.20,57.45,58.38,1059750,509692,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.19,62.87,0.00,0.00
05/30/2018,17:00,58.50,60.32,58.00,59.86,726886,506464,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.03,62.30,0.00,0.00
05/31/2018,17:00,59.89,59.95,58.21,58.69,917563,485153,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.82,61.65,0.00,0.00
06/01/2018,17:00,58.72,58.99,57.16,57.46,781103,470649,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.55,60.93,0.00,0.00
06/04/2018,17:00,57.36,57.69,56.22,56.40,696050,448471,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.21,60.14,0.00,0.00
