#,closedDate,Profit/Loss,equity,returnPerc,Date
90.0,2019-02-13 00:00:00,-14900.0,707800.0,-0.020617130206171286,2019-02-13 00:00:00
91.0,2019-05-01 00:00:00,89000.0,796800.0,0.1257417349533767,2019-05-01 00:00:00
92.0,2019-05-20 00:00:00,5800.0,802600.0,0.007279116465863433,2019-05-20 00:00:00
93.0,2019-05-23 00:00:00,-53000.0,749600.0,-0.06603538499875405,2019-05-23 00:00:00
94.0,2019-06-21 00:00:00,7200.0,756800.0,0.009605122732123883,2019-06-21 00:00:00
95.0,2019-07-18 00:00:00,-21500.0,735300.0,-0.02840909090909094,2019-07-18 00:00:00
96.0,2019-08-20 00:00:00,-7600.0,727700.0,-0.01033591731266148,2019-08-20 00:00:00
97.0,2019-08-26 00:00:00,-24900.0,702800.0,-0.03421739727909856,2019-08-26 00:00:00
98.0,2019-08-29 00:00:00,-30700.0,672100.0,-0.04368241320432553,2019-08-29 00:00:00
99.0,2019-09-04 00:00:00,-4500.0,667600.0,-0.006695432227347142,2019-09-04 00:00:00
100.0,2019-09-05 00:00:00,-400.0,667200.0,-0.0005991611743558778,2019-09-05 00:00:00
101.0,2019-09-26 00:00:00,3500.0,670700.0,0.005245803357314172,2019-09-26 00:00:00
102.0,2019-10-23 00:00:00,5400.0,676100.0,0.008051289697331043,2019-10-23 00:00:00
103.0,2019-12-02 00:00:00,-1200.0,674900.0,-0.0017748853719864455,2019-12-02 00:00:00
104.0,2019-12-05 00:00:00,-24700.0,650200.0,-0.036598014520669686,2019-12-05 00:00:00
105.0,2020-01-10 00:00:00,6800.0,657000.0,0.010458320516764097,2020-01-10 00:00:00
106.0,2020-02-20 00:00:00,54400.0,711400.0,0.082800608828006,2020-02-20 00:00:00
107.0,2020-02-25 00:00:00,-39800.0,671600.0,-0.05594602192859155,2020-02-25 00:00:00
108.0,2020-05-06 00:00:00,319500.0,991100.0,0.47572960095294814,2020-05-06 00:00:00
109.0,2020-07-31 00:00:00,155500.0,1146600.0,0.15689637776208243,2020-07-31 00:00:00
110.0,2020-08-05 00:00:00,-19200.0,1127400.0,-0.016745159602302495,2020-08-05 00:00:00
111.0,2020-09-03 00:00:00,-11000.0,1116400.0,-0.00975696292354089,2020-09-03 00:00:00
112.0,2020-09-28 00:00:00,10200.0,1126600.0,0.009136510211393833,2020-09-28 00:00:00
113.0,2020-09-30 00:00:00,-3800.0,1122800.0,-0.003372980649742563,2020-09-30 00:00:00
114.0,2020-10-08 00:00:00,-9700.0,1113100.0,-0.008639116494478127,2020-10-08 00:00:00
115.0,2020-10-26 00:00:00,-29100.0,1084000.0,-0.026143203665438874,2020-10-26 00:00:00
116.0,2020-11-10 00:00:00,-28000.0,1056000.0,-0.02583025830258301,2020-11-10 00:00:00
117.0,2021-03-19 00:00:00,195500.0,1251500.0,0.1851325757575757,2021-03-19 00:00:00
118.0,2021-04-15 00:00:00,-20200.0,1231300.0,-0.016140631242508974,2021-04-15 00:00:00
119.0,2021-05-20 00:00:00,-15800.0,1215500.0,-0.012831966214569945,2021-05-20 00:00:00
120.0,2021-05-25 00:00:00,-41300.0,1174200.0,-0.03397778691896336,2021-05-25 00:00:00
121.0,2021-07-16 00:00:00,60200.0,1234400.0,0.051268949071708425,2021-07-16 00:00:00
122.0,2021-07-29 00:00:00,-20600.0,1213800.0,-0.016688269604666184,2021-07-29 00:00:00
123.0,2021-08-04 00:00:00,-54700.0,1159100.0,-0.045065084857472404,2021-08-04 00:00:00
124.0,2021-08-30 00:00:00,-13100.0,1146000.0,-0.011301872142179259,2021-08-30 00:00:00
125.0,2021-11-05 00:00:00,128500.0,1274500.0,0.11212914485165792,2021-11-05 00:00:00
126.0,2021-11-10 00:00:00,-700.0,1273800.0,-0.0005492349941152996,2021-11-10 00:00:00
127.0,2021-11-12 00:00:00,-5500.0,1268300.0,-0.0043177892918825345,2021-11-12 00:00:00
128.0,2021-12-23 00:00:00,57700.0,1326000.0,0.045493968304028964,2021-12-23 00:00:00
129.0,2022-03-16 00:00:00,236000.0,1562000.0,0.17797888386123684,2022-03-16 00:00:00
130.0,2022-03-22 00:00:00,-155600.0,1406400.0,-0.09961587708066577,2022-03-22 00:00:00
131.0,2022-04-01 00:00:00,-100000.0,1306400.0,-0.07110352673492604,2022-04-01 00:00:00
132.0,2022-04-18 00:00:00,-89100.0,1217300.0,-0.06820269442743421,2022-04-18 00:00:00
133.0,2022-04-26 00:00:00,-59100.0,1158200.0,-0.04855006982666554,2022-04-26 00:00:00
134.0,2022-04-29 00:00:00,-29900.0,1128300.0,-0.025815921257123176,2022-04-29 00:00:00
135.0,2022-06-21 00:00:00,98200.0,1226500.0,0.08703359035717462,2022-06-21 00:00:00
136.0,2022-08-24 00:00:00,111900.0,1338400.0,0.09123522217692615,2022-08-24 00:00:00
137.0,2022-09-01 00:00:00,-82800.0,1255600.0,-0.061864913329348514,2022-09-01 00:00:00
138.0,2022-10-05 00:00:00,-16000.0,1239600.0,-0.01274291175533604,2022-10-05 00:00:00
139.0,2022-10-19 00:00:00,-23100.0,1216500.0,-0.0186350435624395,2022-10-19 00:00:00
140.0,2022-10-27 00:00:00,-45600.0,1170900.0,-0.037484586929716346,2022-10-27 00:00:00
141.0,2022-11-15 00:00:00,-21600.0,1149300.0,-0.0184473481936972,2022-11-15 00:00:00
142.0,2022-12-22 00:00:00,88800.0,1238100.0,0.07726442182197868,2022-12-22 00:00:00
143.0,2023-01-05 00:00:00,-38200.0,1199900.0,-0.030853727485663507,2023-01-05 00:00:00
144.0,2023-01-13 00:00:00,-61900.0,1138000.0,-0.05158763230269192,2023-01-13 00:00:00
145.0,2023-02-01 00:00:00,-37200.0,1100800.0,-0.03268892794376099,2023-02-01 00:00:00
146.0,2023-02-13 00:00:00,-37300.0,1063500.0,-0.03388444767441856,2023-02-13 00:00:00
147.0,2023-02-20 00:00:00,-29700.0,1033800.0,-0.027926657263751764,2023-02-20 00:00:00
148.0,2023-03-03 00:00:00,-22700.0,1011100.0,-0.021957825498162165,2023-03-03 00:00:00
149.0,2023-03-10 00:00:00,-30000.0,981100.0,-0.029670655721491412,2023-03-10 00:00:00
