#,Type,Date/Time,Signal,Symbol,Price,Roll Over Amt (USD),Profit/Loss,Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage
,Sell,4/16/2021 10:00,T1_LX...,@ES,"$4,227.75 ",,"$4,025.00 ","$252,625.00 ",,"($2,400.00)",100.00%,62.65%,$0.00 ,$0.00 
677,Buy,4/14/2021 10:30,Easy_LE,@ES,"$4,187.50 ",$0.00 ,2,"$3,525.00 ",0.84%,"$4,150.00 ",63.36%,,$0.00 ,$0.00 
,Sell,4/16/2021 12:30,Easy_SX,@ES,"$4,222.75 ",,"$3,525.00 ","$256,150.00 ",,"($2,400.00)",90.46%,53.82%,$0.00 ,$0.00 
678,Buy,4/21/2021 11:00,Easy_LE,@ES,"$4,192.50 ",$0.00 ,4,"$2,950.00 ",0.35%,"$5,050.00 ",92.66%,,$0.00 ,$0.00 
,Sell,4/22/2021 10:00,_LX..,@ES,"$4,207.25 ",,"$2,950.00 ","$259,100.00 ",,($400.00),61.47%,54.13%,$0.00 ,$0.00 
679,Buy,4/23/2021 10:30,Easy_LE,@ES,"$4,197.75 ",$0.00 ,2,"$3,500.00 ",0.83%,"$3,500.00 ",97.22%,,$0.00 ,$0.00 
,Sell,4/23/2021 15:30,T1_LX...,@ES,"$4,232.75 ",,"$3,500.00 ","$262,600.00 ",,($100.00),100.00%,97.22%,$0.00 ,$0.00 
680,Buy,4/23/2021 10:30,Easy_LE,@ES,"$4,197.75 ",$0.00 ,2,"$2,875.00 ",0.68%,"$3,950.00 ",97.53%,,$0.00 ,$0.00 
,Sell,4/27/2021 10:30,Easy_SX,@ES,"$4,226.50 ",,"$2,875.00 ","$265,475.00 ",,($100.00),73.46%,70.99%,$0.00 ,$0.00 
681,Buy,5/3/2021 11:30,Easy_LE,@ES,"$4,236.75 ",$0.00 ,4,"($8,700.00)",-1.03%,"$2,100.00 ",19.00%,,$0.00 ,$0.00 
,Sell,5/4/2021 10:00,_LX..,@ES,"$4,193.25 ",,"($8,700.00)","$256,775.00 ",,"($8,950.00)",2.26%,-78.73%,$0.00 ,$0.00 
682,Buy,5/5/2021 12:30,Easy_LE,@ES,"$4,226.25 ",$0.00 ,4,"($4,200.00)",-0.50%,$200.00 ,2.76%,,$0.00 ,$0.00 
,Sell,5/6/2021 11:00,Easy_SX,@ES,"$4,205.25 ",,"($4,200.00)","$252,575.00 ",,"($7,050.00)",39.31%,-57.93%,$0.00 ,$0.00 
683,Buy,5/7/2021 10:30,Easy_LE,@ES,"$4,275.75 ",$0.00 ,4,"($4,800.00)",-0.56%,"$1,400.00 ",20.59%,,$0.00 ,$0.00 
,Sell,5/10/2021 14:30,Easy_SX,@ES,"$4,251.75 ",,"($4,800.00)","$247,775.00 ",,"($5,400.00)",8.82%,-70.59%,$0.00 ,$0.00 
684,Buy,5/13/2021 11:00,Easy_LE,@ES,"$4,172.00 ",$0.00 ,2,"$3,500.00 ",0.84%,"$3,500.00 ",46.67%,,$0.00 ,$0.00 
,Sell,5/14/2021 11:00,T1_LX...,@ES,"$4,207.00 ",,"$3,500.00 ","$251,275.00 ",,"($4,000.00)",100.00%,46.67%,$0.00 ,$0.00 
685,Buy,5/13/2021 11:00,Easy_LE,@ES,"$4,172.00 ",$0.00 ,2,"$3,075.00 ",0.74%,"$5,675.00 ",58.66%,,$0.00 ,$0.00 
,Sell,5/17/2021 10:00,_LX..,@ES,"$4,202.75 ",,"$3,075.00 ","$254,350.00 ",,"($4,000.00)",73.13%,31.78%,$0.00 ,$0.00 
686,Buy,5/20/2021 12:30,Easy_LE,@ES,"$4,200.00 ",$0.00 ,2,"$3,500.00 ",0.83%,"$3,500.00 ",85.89%,,$0.00 ,$0.00 
,Sell,5/21/2021 10:00,T1_LX...,@ES,"$4,235.00 ",,"$3,500.00 ","$257,850.00 ",,($575.00),100.00%,85.89%,$0.00 ,$0.00 
687,Buy,5/20/2021 12:30,Easy_LE,@ES,"$4,200.00 ",$0.00 ,2,"$3,900.00 ",0.93%,"$6,050.00 ",91.32%,,$0.00 ,$0.00 
,Sell,5/25/2021 11:30,_LX..,@ES,"$4,239.00 ",,"$3,900.00 ","$261,750.00 ",,($575.00),67.55%,58.87%,$0.00 ,$0.00 
688,Buy,5/26/2021 12:30,Easy_LE,@ES,"$4,246.50 ",$0.00 ,4,"$2,250.00 ",0.26%,"$3,600.00 ",67.29%,,$0.00 ,$0.00 
,Sell,5/28/2021 11:00,Easy_SX,@ES,"$4,257.75 ",,"$2,250.00 ","$264,000.00 ",,"($1,750.00)",74.77%,42.06%,$0.00 ,$0.00 
689,Buy,6/1/2021 11:00,Easy_LE,@ES,"$4,251.75 ",$0.00 ,4,"$1,050.00 ",0.12%,"$1,650.00 ",56.90%,,$0.00 ,$0.00 
,Sell,6/2/2021 10:00,_LX..,@ES,"$4,257.00 ",,"$1,050.00 ","$265,050.00 ",,"($1,250.00)",79.31%,36.21%,$0.00 ,$0.00 
690,Buy,6/4/2021 14:30,Easy_LE,@ES,"$4,277.50 ",$0.00 ,4,$800.00 ,0.09%,"$1,600.00 ",27.35%,,$0.00 ,$0.00 
,Sell,6/9/2021 14:30,Easy_SX,@ES,"$4,281.50 ",,$800.00 ,"$265,850.00 ",,"($4,250.00)",86.32%,13.68%,$0.00 ,$0.00 
691,Buy,6/11/2021 10:30,Easy_LE,@ES,"$4,290.25 ",$0.00 ,4,$150.00 ,0.02%,"$1,550.00 ",46.97%,,$0.00 ,$0.00 
,Sell,6/14/2021 11:00,Easy_SX,@ES,"$4,291.00 ",,$150.00 ,"$266,000.00 ",,"($1,750.00)",57.58%,4.55%,$0.00 ,$0.00 
692,Buy,6/21/2021 11:00,Easy_LE,@ES,"$4,266.00 ",$0.00 ,4,$700.00 ,0.08%,"$2,100.00 ",73.68%,,$0.00 ,$0.00 
,Sell,6/22/2021 10:00,_LX..,@ES,"$4,269.50 ",,$700.00 ,"$266,700.00 ",,($750.00),50.88%,24.56%,$0.00 ,$0.00 
693,Buy,6/30/2021 12:30,Easy_LE,@ES,"$4,343.50 ",$0.00 ,2,"$4,025.00 ",0.93%,"$4,150.00 ",94.86%,,$0.00 ,$0.00 
,Sell,7/2/2021 10:00,_LX..,@ES,"$4,383.75 ",,"$4,025.00 ","$270,725.00 ",,($225.00),97.14%,92.00%,$0.00 ,$0.00 
694,Buy,6/30/2021 12:30,Easy_LE,@ES,"$4,343.50 ",$0.00 ,2,"$3,875.00 ",0.89%,"$3,875.00 ",94.51%,,$0.00 ,$0.00 
,Sell,7/2/2021 10:00,T1_LX...,@ES,"$4,382.25 ",,"$3,875.00 ","$274,600.00 ",,($225.00),100.00%,94.51%,$0.00 ,$0.00 
695,Buy,7/7/2021 16:00,Easy_LE,@ES,"$4,409.75 ",$0.00 ,4,"($10,000.00)",-1.13%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Sell,7/8/2021 10:00,_LX..,@ES,"$4,359.75 ",,"($10,000.00)","$264,600.00 ",,"($13,650.00)",26.74%,-73.26%,$0.00 ,$0.00 
696,Buy,7/9/2021 11:00,Easy_LE,@ES,"$4,406.50 ",$0.00 ,4,"$3,600.00 ",0.41%,"$3,650.00 ",98.65%,,$0.00 ,$0.00 
,Sell,7/12/2021 10:00,_LX..,@ES,"$4,424.50 ",,"$3,600.00 ","$268,200.00 ",,($50.00),98.65%,97.30%,$0.00 ,$0.00 
697,Buy,7/16/2021 12:00,Easy_LE,@ES,"$4,401.75 ",$0.00 ,4,"($2,200.00)",-0.25%,"$1,150.00 ",33.82%,,$0.00 ,$0.00 
,Sell,7/16/2021 14:30,c_LX...,@ES,"$4,390.75 ",,"($2,200.00)","$266,000.00 ",,"($2,250.00)",1.47%,-64.71%,$0.00 ,$0.00 
698,Buy,7/20/2021 11:00,Easy_LE,@ES,"$4,367.25 ",$0.00 ,2,"$3,500.00 ",0.80%,"$3,500.00 ",89.74%,,$0.00 ,$0.00 
,Sell,7/21/2021 12:00,T1_LX...,@ES,"$4,402.25 ",,"$3,500.00 ","$269,500.00 ",,($400.00),100.00%,89.74%,$0.00 ,$0.00 
699,Buy,7/20/2021 11:00,Easy_LE,@ES,"$4,367.25 ",$0.00 ,2,"$4,125.00 ",0.94%,"$4,800.00 ",92.31%,,$0.00 ,$0.00 
,Sell,7/22/2021 10:00,_LX..,@ES,"$4,408.50 ",,"$4,125.00 ","$273,625.00 ",,($400.00),87.02%,79.33%,$0.00 ,$0.00 
700,Buy,7/23/2021 14:00,Easy_LE,@ES,"$4,462.75 ",$0.00 ,4,"($1,050.00)",-0.12%,"$2,450.00 ",49.00%,,$0.00 ,$0.00 
,Sell,7/27/2021 10:00,_LX..,@ES,"$4,457.50 ",,"($1,050.00)","$272,575.00 ",,"($2,550.00)",30.00%,-21.00%,$0.00 ,$0.00 
701,Buy,7/28/2021 13:30,Easy_LE,@ES,"$4,446.00 ",$0.00 ,2,"$3,500.00 ",0.79%,"$3,500.00 ",80.46%,,$0.00 ,$0.00 
,Sell,7/29/2021 11:30,T1_LX...,@ES,"$4,481.00 ",,"$3,500.00 ","$276,075.00 ",,($850.00),100.00%,80.46%,$0.00 ,$0.00 
702,Buy,7/28/2021 13:30,Easy_LE,@ES,"$4,446.00 ",$0.00 ,2,$525.00 ,0.12%,"$3,650.00 ",81.11%,,$0.00 ,$0.00 
,Sell,7/30/2021 10:30,_LX..,@ES,"$4,451.25 ",,$525.00 ,"$276,600.00 ",,($850.00),30.56%,11.67%,$0.00 ,$0.00 
703,Buy,8/2/2021 12:00,Easy_LE,@ES,"$4,453.00 ",$0.00 ,4,"($4,950.00)",-0.56%,$750.00 ,12.71%,,$0.00 ,$0.00 
,Sell,8/3/2021 10:00,Easy_SX,@ES,"$4,428.25 ",,"($4,950.00)","$271,650.00 ",,"($5,150.00)",3.39%,-83.90%,$0.00 ,$0.00 
704,Buy,8/3/2021 15:30,Easy_LE,@ES,"$4,472.75 ",$0.00 ,4,"($1,850.00)",-0.21%,$850.00 ,22.97%,,$0.00 ,$0.00 
,Sell,8/4/2021 10:00,_LX..,@ES,"$4,463.50 ",,"($1,850.00)","$269,800.00 ",,"($2,850.00)",27.03%,-50.00%,$0.00 ,$0.00 
705,Buy,8/5/2021 11:30,Easy_LE,@ES,"$4,474.25 ",$0.00 ,4,"$1,400.00 ",0.16%,"$3,800.00 ",74.51%,,$0.00 ,$0.00 
,Sell,8/9/2021 10:00,_LX..,@ES,"$4,481.25 ",,"$1,400.00 ","$271,200.00 ",,"($1,300.00)",52.94%,27.45%,$0.00 ,$0.00 
706,Buy,8/10/2021 14:00,Easy_LE,@ES,"$4,493.25 ",$0.00 ,4,$350.00 ,0.04%,"$1,850.00 ",56.06%,,$0.00 ,$0.00 
,Sell,8/12/2021 10:00,_LX..,@ES,"$4,495.00 ",,$350.00 ,"$271,550.00 ",,"($1,450.00)",54.55%,10.61%,$0.00 ,$0.00 
707,Buy,8/18/2021 12:00,Easy_LE,@ES,"$4,497.00 ",$0.00 ,4,"($7,750.00)",-0.86%,"$1,700.00 ",10.49%,,$0.00 ,$0.00 
,Sell,8/19/2021 11:00,c_LX...,@ES,"$4,458.25 ",,"($7,750.00)","$263,800.00 ",,"($14,500.00)",41.67%,-47.84%,$0.00 ,$0.00 
708,Buy,8/20/2021 11:00,Easy_LE,@ES,"$4,485.25 ",$0.00 ,2,"$3,500.00 ",0.78%,"$3,500.00 ",93.96%,,$0.00 ,$0.00 
,Sell,8/23/2021 10:00,T1_LX...,@ES,"$4,520.25 ",,"$3,500.00 ","$267,300.00 ",,($225.00),100.00%,93.96%,$0.00 ,$0.00 
709,Buy,8/20/2021 11:00,Easy_LE,@ES,"$4,485.25 ",$0.00 ,2,"$6,000.00 ",1.34%,"$7,275.00 ",97.00%,,$0.00 ,$0.00 
,Sell,8/26/2021 10:00,Easy_SX,@ES,"$4,545.25 ",,"$6,000.00 ","$273,300.00 ",,($225.00),83.00%,80.00%,$0.00 ,$0.00 
710,Buy,8/27/2021 12:00,Easy_LE,@ES,"$4,562.50 ",$0.00 ,4,"$3,050.00 ",0.33%,"$3,150.00 ",87.50%,,$0.00 ,$0.00 
,Sell,8/30/2021 10:00,_LX..,@ES,"$4,577.75 ",,"$3,050.00 ","$276,350.00 ",,($450.00),97.22%,84.72%,$0.00 ,$0.00 
711,Buy,9/1/2021 12:00,Easy_LE,@ES,"$4,587.25 ",$0.00 ,4,$100.00 ,0.01%,"$3,350.00 ",67.68%,,$0.00 ,$0.00 
,Sell,9/3/2021 10:00,_LX..,@ES,"$4,587.75 ",,$100.00 ,"$276,450.00 ",,"($1,600.00)",34.34%,2.02%,$0.00 ,$0.00 
712,Buy,9/9/2021 11:00,Easy_LE,@ES,"$4,582.50 ",$0.00 ,4,"($11,750.00)",-1.28%,$150.00 ,0.94%,,$0.00 ,$0.00 
,Sell,9/14/2021 10:00,_LX..,@ES,"$4,523.75 ",,"($11,750.00)","$264,700.00 ",,"($15,750.00)",25.16%,-73.90%,$0.00 ,$0.00 
713,Buy,9/15/2021 12:30,Easy_LE,@ES,"$4,522.25 ",$0.00 ,4,$250.00 ,0.03%,"$4,950.00 ",93.40%,,$0.00 ,$0.00 
,Sell,9/16/2021 10:00,_LX..,@ES,"$4,523.50 ",,$250.00 ,"$264,950.00 ",,($350.00),11.32%,4.72%,$0.00 ,$0.00 
714,Buy,9/21/2021 12:00,Easy_LE,@ES,"$4,433.75 ",$0.00 ,2,"$3,500.00 ",0.79%,"$3,500.00 ",59.57%,,$0.00 ,$0.00 
,Sell,9/22/2021 12:00,T1_LX...,@ES,"$4,468.75 ",,"$3,500.00 ","$268,450.00 ",,"($2,375.00)",100.00%,59.57%,$0.00 ,$0.00 
715,Buy,9/21/2021 12:00,Easy_LE,@ES,"$4,433.75 ",$0.00 ,2,"$7,725.00 ",1.74%,"$9,050.00 ",79.21%,,$0.00 ,$0.00 
,Sell,9/24/2021 10:00,_LX..,@ES,"$4,511.00 ",,"$7,725.00 ","$276,175.00 ",,"($2,375.00)",88.40%,67.61%,$0.00 ,$0.00 
716,Buy,9/27/2021 14:30,Easy_LE,@ES,"$4,512.00 ",$0.00 ,4,"($11,350.00)",-1.26%,$100.00 ,0.76%,,$0.00 ,$0.00 
,Sell,9/28/2021 10:00,Easy_SX,@ES,"$4,455.25 ",,"($11,350.00)","$264,825.00 ",,"($13,000.00)",12.60%,-86.64%,$0.00 ,$0.00 
717,Buy,9/29/2021 12:30,Easy_LE,@ES,"$4,420.25 ",$0.00 ,4,"($8,450.00)",-0.96%,"$4,900.00 ",35.13%,,$0.00 ,$0.00 
,Sell,9/30/2021 12:30,_LX..,@ES,"$4,378.00 ",,"($8,450.00)","$256,375.00 ",,"($9,050.00)",4.30%,-60.57%,$0.00 ,$0.00 
718,Buy,10/1/2021 11:30,Easy_LE,@ES,"$4,378.50 ",$0.00 ,2,"$3,500.00 ",0.80%,"$3,500.00 ",97.90%,,$0.00 ,$0.00 
,Sell,10/1/2021 14:30,T1_LX...,@ES,"$4,413.50 ",,"$3,500.00 ","$259,875.00 ",,($75.00),100.00%,97.90%,$0.00 ,$0.00 
719,Buy,10/1/2021 11:30,Easy_LE,@ES,"$4,378.50 ",$0.00 ,2,($525.00),-0.12%,"$5,650.00 ",89.68%,,$0.00 ,$0.00 
,Sell,10/4/2021 10:30,_LX..,@ES,"$4,373.25 ",,($525.00),"$259,350.00 ",,($650.00),1.98%,-8.33%,$0.00 ,$0.00 
720,Buy,10/5/2021 11:30,Easy_LE,@ES,"$4,420.75 ",$0.00 ,4,"($11,700.00)",-1.32%,"$1,650.00 ",11.91%,,$0.00 ,$0.00 
,Sell,10/6/2021 10:00,_LX..,@ES,"$4,362.25 ",,"($11,700.00)","$247,650.00 ",,"($12,200.00)",3.61%,-84.48%,$0.00 ,$0.00 
721,Buy,10/7/2021 11:00,Easy_LE,@ES,"$4,487.50 ",$0.00 ,4,"($6,050.00)",-0.67%,$450.00 ,6.12%,,$0.00 ,$0.00 
,Sell,10/8/2021 10:00,_LX..,@ES,"$4,457.25 ",,"($6,050.00)","$241,600.00 ",,"($6,900.00)",11.56%,-82.31%,$0.00 ,$0.00 
722,Buy,10/11/2021 11:00,Easy_LE,@ES,"$4,470.50 ",$0.00 ,4,"($10,100.00)",-1.13%,$950.00 ,8.48%,,$0.00 ,$0.00 
,Sell,10/11/2021 16:00,c_LX...,@ES,"$4,420.00 ",,"($10,100.00)","$231,500.00 ",,"($10,250.00)",1.34%,-90.18%,$0.00 ,$0.00 
723,Buy,10/12/2021 11:00,Easy_LE,@ES,"$4,414.00 ",$0.00 ,4,"($2,750.00)",-0.31%,"$4,050.00 ",43.78%,,$0.00 ,$0.00 
,Sell,10/13/2021 11:00,Easy_SX,@ES,"$4,400.25 ",,"($2,750.00)","$228,750.00 ",,"($5,200.00)",26.49%,-29.73%,$0.00 ,$0.00 
724,Buy,10/13/2021 15:30,Easy_LE,@ES,"$4,417.75 ",$0.00 ,2,"$4,700.00 ",1.06%,"$4,700.00 ",98.95%,,$0.00 ,$0.00 
,Sell,10/14/2021 10:00,T1_LX...,@ES,"$4,464.75 ",,"$4,700.00 ","$233,450.00 ",,($50.00),100.00%,98.95%,$0.00 ,$0.00 
725,Buy,10/13/2021 15:30,Easy_LE,@ES,"$4,417.75 ",$0.00 ,2,"$11,675.00 ",2.64%,"$11,900.00 ",99.58%,,$0.00 ,$0.00 
,Sell,10/15/2021 14:30,Easy_SX,@ES,"$4,534.50 ",,"$11,675.00 ","$245,125.00 ",,($50.00),98.12%,97.70%,$0.00 ,$0.00 
726,Buy,10/20/2021 11:00,Easy_LE,@ES,"$4,594.75 ",$0.00 ,4,"($1,300.00)",-0.14%,"$1,600.00 ",43.24%,,$0.00 ,$0.00 
,Sell,10/21/2021 11:30,Easy_SX,@ES,"$4,588.25 ",,"($1,300.00)","$243,825.00 ",,"($2,100.00)",21.62%,-35.14%,$0.00 ,$0.00 
727,Buy,10/25/2021 11:00,Easy_LE,@ES,"$4,615.75 ",$0.00 ,2,"$3,500.00 ",0.76%,"$3,500.00 ",95.89%,,$0.00 ,$0.00 
,Sell,10/26/2021 10:00,T1_LX...,@ES,"$4,650.75 ",,"$3,500.00 ","$247,325.00 ",,($150.00),100.00%,95.89%,$0.00 ,$0.00 
728,Buy,10/25/2021 11:00,Easy_LE,@ES,"$4,615.75 ",$0.00 ,2,"$2,125.00 ",0.46%,"$4,350.00 ",96.67%,,$0.00 ,$0.00 
,Sell,10/26/2021 13:30,Easy_SX,@ES,"$4,637.00 ",,"$2,125.00 ","$249,450.00 ",,($150.00),50.56%,47.22%,$0.00 ,$0.00 
729,Buy,10/28/2021 11:30,Easy_LE,@ES,"$4,649.50 ",$0.00 ,4,"($1,500.00)",-0.16%,"$1,700.00 ",29.82%,,$0.00 ,$0.00 
,Sell,10/29/2021 10:30,_LX..,@ES,"$4,642.00 ",,"($1,500.00)","$247,950.00 ",,"($4,000.00)",43.86%,-26.32%,$0.00 ,$0.00 
730,Buy,11/1/2021 11:00,Easy_LE,@ES,"$4,660.25 ",$0.00 ,4,"$5,050.00 ",0.54%,"$5,300.00 ",86.18%,,$0.00 ,$0.00 
,Sell,11/2/2021 10:00,_LX..,@ES,"$4,685.50 ",,"$5,050.00 ","$253,000.00 ",,($850.00),95.93%,82.11%,$0.00 ,$0.00 
731,Buy,11/3/2021 13:00,Easy_LE,@ES,"$4,687.25 ",$0.00 ,2,"$3,500.00 ",0.75%,"$3,500.00 ",88.05%,,$0.00 ,$0.00 
,Sell,11/3/2021 16:00,T1_LX...,@ES,"$4,722.25 ",,"$3,500.00 ","$256,500.00 ",,($475.00),100.00%,88.05%,$0.00 ,$0.00 
732,Buy,11/3/2021 13:00,Easy_LE,@ES,"$4,687.25 ",$0.00 ,2,"$4,650.00 ",0.99%,"$5,675.00 ",92.28%,,$0.00 ,$0.00 
,Sell,11/4/2021 12:30,Easy_SX,@ES,"$4,733.75 ",,"$4,650.00 ","$261,150.00 ",,($475.00),83.33%,75.61%,$0.00 ,$0.00 
733,Buy,11/5/2021 11:00,Easy_LE,@ES,"$4,775.50 ",$0.00 ,4,"($2,400.00)",-0.25%,$450.00 ,6.57%,,$0.00 ,$0.00 
,Sell,11/8/2021 14:30,Easy_SX,@ES,"$4,763.50 ",,"($2,400.00)","$258,750.00 ",,"($6,400.00)",58.39%,-35.04%,$0.00 ,$0.00 
734,Buy,11/11/2021 12:00,Easy_LE,@ES,"$4,720.75 ",$0.00 ,2,"$3,975.00 ",0.84%,"$3,975.00 ",80.71%,,$0.00 ,$0.00 
,Sell,11/15/2021 10:00,T1_LX...,@ES,"$4,760.50 ",,"$3,975.00 ","$262,725.00 ",,($950.00),100.00%,80.71%,$0.00 ,$0.00 
735,Buy,11/11/2021 12:00,Easy_LE,@ES,"$4,720.75 ",$0.00 ,2,"$1,900.00 ",0.40%,"$4,125.00 ",81.28%,,$0.00 ,$0.00 
,Sell,11/15/2021 12:30,Easy_SX,@ES,"$4,739.75 ",,"$1,900.00 ","$264,625.00 ",,($950.00),56.16%,37.44%,$0.00 ,$0.00 
736,Buy,11/16/2021 14:30,Easy_LE,@ES,"$4,775.50 ",$0.00 ,4,($900.00),-0.09%,$50.00 ,4.00%,,$0.00 ,$0.00 
,Sell,11/16/2021 15:30,c_LX...,@ES,"$4,771.00 ",,($900.00),"$263,725.00 ",,"($1,200.00)",24.00%,-72.00%,$0.00 ,$0.00 
737,Buy,11/22/2021 10:00,Easy_LE,@ES,"$4,801.00 ",$0.00 ,4,"($13,000.00)",-1.35%,"$1,750.00 ",9.56%,,$0.00 ,$0.00 
,Sell,11/24/2021 10:00,c_LX...,@ES,"$4,736.00 ",,"($13,000.00)","$250,725.00 ",,"($16,550.00)",19.40%,-71.04%,$0.00 ,$0.00 
738,Buy,11/24/2021 11:30,Easy_LE,@ES,"$4,757.75 ",$0.00 ,4,"($13,950.00)",-1.47%,"$2,450.00 ",13.54%,,$0.00 ,$0.00 
,Sell,11/26/2021 10:00,_LX..,@ES,"$4,688.00 ",,"($13,950.00)","$236,775.00 ",,"($15,650.00)",9.39%,-77.07%,$0.00 ,$0.00 
739,Buy,11/29/2021 13:00,Easy_LE,@ES,"$4,734.75 ",$0.00 ,4,"($7,500.00)",-0.79%,$850.00 ,7.69%,,$0.00 ,$0.00 
,Sell,11/30/2021 10:00,_LX..,@ES,"$4,697.25 ",,"($7,500.00)","$229,275.00 ",,"($10,200.00)",24.43%,-67.87%,$0.00 ,$0.00 
740,Buy,12/1/2021 11:00,Easy_LE,@ES,"$4,707.75 ",$0.00 ,4,"($19,300.00)",-2.05%,"$2,450.00 ",10.58%,,$0.00 ,$0.00 
,Sell,12/1/2021 15:30,_LX..,@ES,"$4,611.25 ",,"($19,300.00)","$209,975.00 ",,"($20,700.00)",6.05%,-83.37%,$0.00 ,$0.00 
741,Buy,12/6/2021 12:00,Easy_LE,@ES,"$4,646.25 ",$0.00 ,2,"$7,075.00 ",1.52%,"$7,075.00 ",98.61%,,$0.00 ,$0.00 
,Sell,12/7/2021 10:00,T1_LX...,@ES,"$4,717.00 ",,"$7,075.00 ","$217,050.00 ",,($100.00),100.00%,98.61%,$0.00 ,$0.00 
742,Buy,12/6/2021 12:00,Easy_LE,@ES,"$4,646.25 ",$0.00 ,2,"$10,800.00 ",2.32%,"$11,950.00 ",99.17%,,$0.00 ,$0.00 
,Sell,12/8/2021 10:00,_LX..,@ES,"$4,754.25 ",,"$10,800.00 ","$227,850.00 ",,($100.00),90.46%,89.63%,$0.00 ,$0.00 
743,Buy,12/15/2021 15:00,Easy_LE,@ES,"$4,718.25 ",$0.00 ,2,"$4,725.00 ",1.00%,"$4,950.00 ",99.00%,,$0.00 ,$0.00 
,Sell,12/15/2021 16:00,T1_LX...,@ES,"$4,765.50 ",,"$4,725.00 ","$232,575.00 ",,($50.00),95.50%,94.50%,$0.00 ,$0.00 
744,Buy,12/15/2021 15:00,Easy_LE,@ES,"$4,718.25 ",$0.00 ,2,"($2,850.00)",-0.60%,"$8,100.00 ",67.08%,,$0.00 ,$0.00 
,Sell,12/17/2021 10:00,_LX..,@ES,"$4,689.75 ",,"($2,850.00)","$229,725.00 ",,"($3,975.00)",9.32%,-23.60%,$0.00 ,$0.00 
745,Buy,12/21/2021 11:00,Easy_LE,@ES,"$4,660.25 ",$0.00 ,2,"$3,500.00 ",0.75%,"$3,500.00 ",92.11%,,$0.00 ,$0.00 
,Sell,12/21/2021 12:30,T1_LX...,@ES,"$4,695.25 ",,"$3,500.00 ","$233,225.00 ",,($300.00),100.00%,92.11%,$0.00 ,$0.00 
746,Buy,12/21/2021 11:00,Easy_LE,@ES,"$4,660.25 ",$0.00 ,2,"$5,950.00 ",1.28%,"$6,425.00 ",95.54%,,$0.00 ,$0.00 
,Sell,12/22/2021 10:00,_LX..,@ES,"$4,719.75 ",,"$5,950.00 ","$239,175.00 ",,($300.00),92.94%,88.48%,$0.00 ,$0.00 
747,Buy,12/30/2021 11:30,Easy_LE,@ES,"$4,869.00 ",$0.00 ,4,"($4,850.00)",-0.50%,$250.00 ,3.45%,,$0.00 ,$0.00 
,Sell,12/31/2021 11:30,Easy_SX,@ES,"$4,844.75 ",,"($4,850.00)","$234,325.00 ",,"($7,000.00)",29.66%,-66.90%,$0.00 ,$0.00 
748,Buy,12/31/2021 14:30,Easy_LE,@ES,"$4,846.75 ",$0.00 ,4,($500.00),-0.05%,"$3,150.00 ",40.38%,,$0.00 ,$0.00 
,Sell,1/3/2022 12:30,Easy_SX,@ES,"$4,844.25 ",,($500.00),"$233,825.00 ",,"($4,650.00)",53.21%,-6.41%,$0.00 ,$0.00 
749,Buy,1/6/2022 14:30,Easy_LE,@ES,"$4,771.00 ",$0.00 ,4,"($18,850.00)",-1.98%,"$2,900.00 ",12.92%,,$0.00 ,$0.00 
,Sell,1/10/2022 10:00,Easy_SX,@ES,"$4,676.75 ",,"($18,850.00)","$214,975.00 ",,"($19,550.00)",3.12%,-83.96%,$0.00 ,$0.00 
750,Buy,1/11/2022 12:30,Easy_LE,@ES,"$4,751.25 ",$0.00 ,2,"$4,775.00 ",1.00%,"$4,775.00 ",96.95%,,$0.00 ,$0.00 
,Sell,1/12/2022 10:00,T1_LX...,@ES,"$4,799.00 ",,"$4,775.00 ","$219,750.00 ",,($150.00),100.00%,96.95%,$0.00 ,$0.00 
751,Buy,1/11/2022 12:30,Easy_LE,@ES,"$4,751.25 ",$0.00 ,2,"$3,575.00 ",0.75%,"$6,425.00 ",97.72%,,$0.00 ,$0.00 
,Sell,1/12/2022 11:30,_LX..,@ES,"$4,787.00 ",,"$3,575.00 ","$223,325.00 ",,($150.00),56.65%,54.37%,$0.00 ,$0.00 
752,Buy,1/19/2022 13:00,Easy_LE,@ES,"$4,664.00 ",$0.00 ,4,"($14,850.00)",-1.59%,"$1,250.00 ",7.33%,,$0.00 ,$0.00 
,Sell,1/20/2022 15:30,_LX..,@ES,"$4,589.75 ",,"($14,850.00)","$208,475.00 ",,"($15,800.00)",5.57%,-87.10%,$0.00 ,$0.00 
753,Buy,1/25/2022 15:00,Easy_LE,@ES,"$4,476.50 ",$0.00 ,2,"$3,500.00 ",0.78%,"$3,500.00 ",36.65%,,$0.00 ,$0.00 
,Sell,1/26/2022 10:30,T1_LX...,@ES,"$4,511.50 ",,"$3,500.00 ","$211,975.00 ",,"($6,050.00)",100.00%,36.65%,$0.00 ,$0.00 
754,Buy,1/25/2022 15:00,Easy_LE,@ES,"$4,476.50 ",$0.00 ,2,"($3,150.00)",-0.70%,"$4,575.00 ",43.06%,,$0.00 ,$0.00 
,Sell,1/26/2022 15:00,_LX..,@ES,"$4,445.00 ",,"($3,150.00)","$208,825.00 ",,"($6,050.00)",27.29%,-29.65%,$0.00 ,$0.00 
